Mode,Raw,Lux,Gain,Resolution,Sample
ALS,104353,2608.82,x6,20-bit,7
ALS,104453,2611.32,x6,20-bit,8
ALS,104060,2601.50,x6,20-bit,9
ALS,51969,2598.45,x6,19-bit,0
ALS,52029,2601.45,x6,19-bit,1
ALS,52304,2615.20,x6,19-bit,2
ALS,52364,2618.20,x6,19-bit,3
ALS,52328,2616.40,x6,19-bit,4
ALS,52366,2618.30,x6,19-bit,5
ALS,52347,2617.35,x6,19-bit,6
ALS,52288,2614.40,x6,19-bit,7
ALS,52269,2613.45,x6,19-bit,8
ALS,52287,2614.35,x6,19-bit,9
ALS,26138,2613.80,x6,18-bit,0
ALS,26150,2615.00,x6,18-bit,1
ALS,26135,2613.50,x6,18-bit,2
ALS,26107,2610.70,x6,18-bit,3
ALS,26103,2610.30,x6,18-bit,4
ALS,26206,2620.60,x6,18-bit,5
ALS,26206,2620.60,x6,18-bit,6
ALS,26075,2607.50,x6,18-bit,7
ALS,26072,2607.20,x6,18-bit,8
ALS,26045,2604.50,x6,18-bit,9
ALS,13036,2607.20,x6,17-bit,0
ALS,13010,2602.00,x6,17-bit,1
ALS,13012,2602.40,x6,17-bit,2
ALS,13000,2600.00,x6,17-bit,3
ALS,13005,2601.00,x6,17-bit,4
ALS,13029,2605.80,x6,17-bit,5
ALS,13002,2600.40,x6,17-bit,6
ALS,13032,2606.40,x6,17-bit,7
ALS,13056,2611.20,x6,17-bit,8
ALS,13091,2618.20,x6,17-bit,9
ALS,6636,2654.40,x6,16-bit,0
ALS,6463,2585.20,x6,16-bit,1
ALS,6603,2641.20,x6,16-bit,2
ALS,6491,2596.40,x6,16-bit,3
ALS,6539,2615.60,x6,16-bit,4
ALS,6515,2606.00,x6,16-bit,5
ALS,6541,2616.40,x6,16-bit,6
ALS,6559,2623.60,x6,16-bit,7
ALS,6507,2602.80,x6,16-bit,8
ALS,6600,2640.00,x6,16-bit,9
ALS,935,2992.00,x6,13-bit,0
ALS,684,2188.80,x6,13-bit,1
ALS,922,2950.40,x6,13-bit,2
ALS,695,2224.00,x6,13-bit,3
ALS,910,2912.00,x6,13-bit,4
ALS,710,2272.00,x6,13-bit,5
ALS,894,2860.80,x6,13-bit,6
ALS,730,2336.00,x6,13-bit,7
ALS,870,2784.00,x6,13-bit,8
ALS,762,2438.40,x6,13-bit,9
ALS,159065,2651.08,x9,20-bit,0
ALS,159029,2650.48,x9,20-bit,1
ALS,157703,2628.38,x9,20-bit,2
ALS,157395,2623.25,x9,20-bit,3
ALS,156948,2615.80,x9,20-bit,4
ALS,158077,2634.62,x9,20-bit,5
ALS,158422,2640.37,x9,20-bit,6
ALS,157425,2623.75,x9,20-bit,7
ALS,157392,2623.20,x9,20-bit,8
ALS,157475,2624.58,x9,20-bit,9
ALS,78584,2619.47,x9,19-bit,0
ALS,78480,2616.00,x9,19-bit,1
ALS,78711,2623.70,x9,19-bit,2
ALS,78849,2628.30,x9,19-bit,3
ALS,78732,2624.40,x9,19-bit,4
ALS,79400,2646.67,x9,19-bit,5
ALS,79548,2651.60,x9,19-bit,6
ALS,79647,2654.90,x9,19-bit,7
ALS,79597,2653.23,x9,19-bit,8
ALS,79622,2654.07,x9,19-bit,9
ALS,39800,2653.33,x9,18-bit,0
ALS,39779,2651.93,x9,18-bit,1
ALS,39808,2653.87,x9,18-bit,2
ALS,39984,2665.60,x9,18-bit,3
ALS,39901,2660.07,x9,18-bit,4
ALS,39878,2658.53,x9,18-bit,5
ALS,39860,2657.33,x9,18-bit,6
ALS,39718,2647.87,x9,18-bit,7
ALS,39805,2653.67,x9,18-bit,8
ALS,39819,2654.60,x9,18-bit,9
ALS,19868,2649.07,x9,17-bit,0
ALS,19731,2630.80,x9,17-bit,1
ALS,19771,2636.13,x9,17-bit,2
ALS,19799,2639.87,x9,17-bit,3
ALS,19780,2637.33,x9,17-bit,4
ALS,19865,2648.67,x9,17-bit,5
ALS,19920,2656.00,x9,17-bit,6
ALS,19925,2656.67,x9,17-bit,7
ALS,19931,2657.47,x9,17-bit,8
ALS,19905,2654.00,x9,17-bit,9
ALS,9888,2636.80,x9,16-bit,0
ALS,9998,2666.13,x9,16-bit,1
ALS,9934,2649.07,x9,16-bit,2
ALS,9959,2655.73,x9,16-bit,3
ALS,9988,2663.47,x9,16-bit,4
ALS,9899,2639.73,x9,16-bit,5
ALS,10049,2679.73,x9,16-bit,6
ALS,9815,2617.33,x9,16-bit,7
ALS,10069,2685.07,x9,16-bit,8
ALS,10146,2705.60,x9,16-bit,9
ALS,1386,2956.80,x9,13-bit,0
ALS,1086,2316.80,x9,13-bit,1
ALS,1360,2901.33,x9,13-bit,2
ALS,1122,2393.60,x9,13-bit,3
ALS,1327,2830.93,x9,13-bit,4
ALS,1166,2487.47,x9,13-bit,5
ALS,1282,2734.93,x9,13-bit,6
ALS,1220,2602.67,x9,13-bit,7
ALS,1257,2681.60,x9,13-bit,8
ALS,1280,2730.67,x9,13-bit,9
ALS,310267,2585.56,x18,20-bit,0
ALS,310070,2583.92,x18,20-bit,1
ALS,309711,2580.93,x18,20-bit,2
ALS,308961,2574.68,x18,20-bit,3
ALS,308722,2572.68,x18,20-bit,4
ALS,309519,2579.32,x18,20-bit,5
ALS,309793,2581.61,x18,20-bit,6
ALS,309843,2582.02,x18,20-bit,7
ALS,310112,2584.27,x18,20-bit,8
ALS,309589,2579.91,x18,20-bit,9
ALS,154787,2579.78,x18,19-bit,0
ALS,154944,2582.40,x18,19-bit,1
ALS,154899,2581.65,x18,19-bit,2
ALS,154795,2579.92,x18,19-bit,3
ALS,154660,2577.67,x18,19-bit,4
ALS,154583,2576.38,x18,19-bit,5
ALS,154628,2577.13,x18,19-bit,6
ALS,154798,2579.97,x18,19-bit,7
ALS,154731,2578.85,x18,19-bit,8
